host,ip
jp-tok-st002.prod.surfshark.com,45.87.213.21
in-chn.prod.surfshark.com,103.108.117.149
pt-lis.prod.surfshark.com,5.154.174.189
au-mel.prod.surfshark.com,144.48.38.179
tw-tai.prod.surfshark.com,103.152.151.83
mx-mex.prod.surfshark.com,194.41.112.5
jp-tok-st003.prod.surfshark.com,45.87.213.23
sg-sng-st001.prod.surfshark.com,217.138.201.91
jp-tok-st006.prod.surfshark.com,82.102.28.123
uk-lon-st003.prod.surfshark.com,185.134.22.92
ph-mnl.prod.surfshark.com,45.134.224.20
lv-rig.prod.surfshark.com,188.92.78.147
py-asu.prod.surfshark.com,186.16.32.173
be-bru.prod.surfshark.com,37.120.218.251
sg-sng-mp001.prod.surfshark.com,206.189.94.229
ro-buc.prod.surfshark.com,185.102.217.159
in-idr.prod.surfshark.com,137.59.52.107
il-tlv.prod.surfshark.com,87.239.255.116
de-muc.prod.surfshark.com,178.238.231.53
jp-tok-st001.prod.surfshark.com,45.87.213.19
au-syd.prod.surfshark.com,45.248.76.173
ee-tll.prod.surfshark.com,165.231.163.3
ca-van.prod.surfshark.com,208.78.41.197
us-stl.prod.surfshark.com,148.72.169.209
lu-ste.prod.surfshark.com,185.153.151.73
ca-tor.prod.surfshark.com,104.200.138.7
uk-lon.prod.surfshark.com,185.38.150.41
pl-waw.prod.surfshark.com,185.246.208.107
es-bcn.prod.surfshark.com,185.188.61.15
ua-iev.prod.surfshark.com,45.9.238.47
us-nyc-st001.prod.surfshark.com,92.119.177.19
us-buf.prod.surfshark.com,107.175.104.84
jp-tok-st005.prod.surfshark.com,217.138.212.21
us-nyc-st005.prod.surfshark.com,193.148.18.53
us-slc.prod.surfshark.com,104.200.131.167
hu-bud.prod.surfshark.com,37.120.144.243
de-fra.prod.surfshark.com,185.158.135.38
sg-sng-st004.prod.surfshark.com,84.247.49.21
cy-nic.prod.surfshark.com,195.47.194.42
sg-sng-st002.prod.surfshark.com,217.138.201.93
de-fra-st001.prod.surfshark.com,45.87.212.179
au-adl.prod.surfshark.com,45.248.79.53
kr-seo.prod.surfshark.com,61.14.210.232
md-chi.prod.surfshark.com,178.175.128.237
us-mnz.prod.surfshark.com,23.105.160.138
rs-beg.prod.surfshark.com,152.89.160.215
no-osl.prod.surfshark.com,95.174.66.37
nl-ams.prod.surfshark.com,89.46.223.245
it-rom.prod.surfshark.com,185.217.71.235
us-nyc-st003.prod.surfshark.com,92.119.177.23
pl-gdn.prod.surfshark.com,5.187.53.51
us-hou.prod.surfshark.com,104.148.30.85
az-bak.prod.surfshark.com,94.20.21.87
ly-tip.prod.surfshark.com,41.208.72.157
ba-sjj.prod.surfshark.com,185.99.3.214
ae-dub.prod.surfshark.com,45.9.249.243
co-bog.prod.surfshark.com,45.129.32.5
us-clt.prod.surfshark.com,192.154.255.54
au-bne.prod.surfshark.com,144.48.39.109
pt-lou.prod.surfshark.com,176.61.146.123
gr-ath.prod.surfshark.com,194.150.167.30
jp-tok-st004.prod.surfshark.com,217.138.212.19
us-bos.prod.surfshark.com,173.237.207.15
ca-mon.prod.surfshark.com,198.8.85.82
za-jnb.prod.surfshark.com,154.127.49.230
se-sto.prod.surfshark.com,185.76.9.39
au-per.prod.surfshark.com,124.150.139.181
us-nyc-st004.prod.surfshark.com,193.148.18.51
is-rkv.prod.surfshark.com,82.221.128.169
ch-zur.prod.surfshark.com,84.17.53.219
it-mil.prod.surfshark.com,84.17.58.207
us-mia.prod.surfshark.com,172.83.42.156
us-kan.prod.surfshark.com,198.204.231.149
ru-spt.prod.surfshark.com,188.92.78.203
ie-dub.prod.surfshark.com,185.108.128.185
us-atl.prod.surfshark.com,66.115.154.149
us-lax.prod.surfshark.com,192.111.134.197
uk-lon-st002.prod.surfshark.com,185.134.22.80
us-phx.prod.surfshark.com,199.58.187.67
ng-lag.prod.surfshark.com,102.165.23.42
hr-zag.prod.surfshark.com,89.164.99.111
kz-ura.prod.surfshark.com,95.57.207.200
uk-lon-mp001.prod.surfshark.com,206.189.119.92
in-mum.prod.surfshark.com,165.231.253.147
tr-ist.prod.surfshark.com,107.150.95.155
uk-lon-st001.prod.surfshark.com,217.146.82.83
fr-mrs.prod.surfshark.com,185.166.84.31
si-lju.prod.surfshark.com,195.158.249.46
es-mad.prod.surfshark.com,212.102.48.8
jp-tok.prod.surfshark.com,89.187.161.241
fr-par.prod.surfshark.com,45.89.174.101
us-chi.prod.surfshark.com,185.246.209.50
al-tia.prod.surfshark.com,31.171.154.147
fi-hel.prod.surfshark.com,196.244.191.195
us-sfo.prod.surfshark.com,185.124.240.141
us-ltm.prod.surfshark.com,45.43.19.82
us-dtw.prod.surfshark.com,104.244.208.37
uk-lon-st005.prod.surfshark.com,185.44.76.188
us-dal.prod.surfshark.com,212.102.40.76
my-kul.prod.surfshark.com,42.0.30.162
id-jak.prod.surfshark.com,103.120.66.219
uk-man.prod.surfshark.com,86.106.136.75
sk-bts.prod.surfshark.com,193.37.255.39
cz-prg.prod.surfshark.com,185.152.64.178
th-bkk.prod.surfshark.com,103.253.74.3
ar-bua.prod.surfshark.com,91.206.168.26
fr-bod.prod.surfshark.com,185.108.106.74
bg-sof.prod.surfshark.com,37.120.152.195
de-nue.prod.surfshark.com,62.171.151.180
sg-sng.prod.surfshark.com,89.187.163.200
us-nyc-mp001.prod.surfshark.com,45.55.60.159
uk-lon-st004.prod.surfshark.com,185.44.76.186
es-vlc.prod.surfshark.com,185.153.150.54
jp-tok-st007.prod.surfshark.com,82.102.28.125
pt-opo.prod.surfshark.com,194.39.127.242
at-vie.prod.surfshark.com,37.120.212.133
uk-gla.prod.surfshark.com,185.108.105.40
hk-hkg.prod.surfshark.com,212.102.42.194
us-las.prod.surfshark.com,185.242.5.215
us-nyc.prod.surfshark.com,37.120.202.5
nz-akl.prod.surfshark.com,180.149.231.117
us-orl.prod.surfshark.com,198.147.22.87
de-fra-st002.prod.surfshark.com,45.87.212.181
tr-bur.prod.surfshark.com,185.195.79.21
mk-skp.prod.surfshark.com,185.225.28.69
vn-hcm.prod.surfshark.com,202.143.111.213
us-tpa.prod.surfshark.com,209.216.92.212
dk-cph.prod.surfshark.com,95.174.65.69
sg-in.prod.surfshark.com,128.199.193.35
de-fra-st003.prod.surfshark.com,45.87.212.183
br-sao.prod.surfshark.com,191.96.73.226
us-den.prod.surfshark.com,212.102.44.88
us-bdn.prod.surfshark.com,154.16.168.188
de-ber.prod.surfshark.com,152.89.163.231
us-sea.prod.surfshark.com,198.8.80.229
us-nyc-st002.prod.surfshark.com,92.119.177.21
ru-mos.prod.surfshark.com,213.183.56.233
sg-sng-st003.prod.surfshark.com,84.247.49.19
cl-san.prod.surfshark.com,31.169.121.5
cr-sjn.prod.surfshark.com,176.227.241.24
